"variable_id","mz","rt","condition","polarity","mean_intensity"
"M159T555_POS",159.028896717482,555.0146484375,1.22751453096023,"positive",2789818.99608852
"M166T66_POS",166.07234092086,65.5287132263184,1.196398833835,"positive",15441381.3378304
"M141T555_POS",141.018252804821,555.037445068359,1.06804779060915,"positive",1671686.01284097
"M138T511_POS",138.055036078699,511.195281982422,1.04054047845779,"positive",10168641.3968745
"M180T162_POS",180.087874643262,161.956039428711,0.967587630628811,"positive",1783577.59215019
"M168T511_POS",168.065464413121,511.232147216797,0.894668686296386,"positive",3036679.4540021
"M151T83_POS",151.061431896768,83.3048858642578,0.867313372117626,"positive",2268751.77755185
"M149T555_2_POS",149.132464221467,555.168762207031,0.826037819045832,"positive",4086848.1343274
"M144T511_POS",144.065684994435,511.196990966797,0.786844993602865,"positive",3196646.20346553
"M138T266_POS",138.066251989426,265.687133789062,0.776010164608285,"positive",21397475.8744049
"M171T33_POS",171.039413412036,32.6360340118408,0.765845132442804,"positive",3016196.03052531
"M130T318_POS",130.065289192203,318.074401855469,0.758149407401034,"positive",6862130.1224492
"M167T99_POS",167.056366051935,99.3288040161133,0.730677237499477,"positive",36077053.1220414
"M142T33_1_POS",142.024810515243,33.1688270568848,0.720505097249899,"positive",7765694.24977002
"M139T511_POS",139.058288762432,511.163513183594,0.692900351256978,"positive",3244578.14379504
"M131T263_POS",131.049535061799,262.820831298828,0.688596494818292,"positive",6315893.14466931
"M170T33_1_POS",170.038732193131,32.8574523925781,0.686231877090865,"positive",19597100.0698514
"M180T266_POS",180.06378764109,265.680969238281,0.660295775960436,"positive",2502933.01451676
"M169T33_1_POS",169.035486876637,33.1144275665283,0.652000671312731,"positive",370121156.629219
"M169T33_2_POS",169.096900513494,33.0610580444336,0.628253152225347,"positive",6221749.02972477
"M138T182_POS",138.066221843054,181.836410522461,0.627864006741601,"positive",2448225.25448298
"M151T134_POS",151.061358295279,134.079132080078,0.627646797258877,"positive",48934676.7799849
"M180T126_POS",180.065440859363,125.557327270508,0.626455264107605,"positive",131661913.963615
"M122T202_POS",122.027064554803,201.519416809082,0.620401123068744,"positive",1774336.47399095
"M150T825_POS",150.015361236087,824.725250244141,0.617677945265076,"positive",97912646.5213504
"M119T947_POS",119.018947815787,946.799194335938,0.612542103804542,"positive",61878205.6359291
"M105T126_POS",105.033548585768,125.621578216553,0.608649896866891,"positive",131486013.228184
"M123T266_POS",123.04181838188,265.679763793945,0.605032014784805,"positive",32934469.1359554
"M114T156_POS",114.091467900886,155.782775878906,0.603763841150016,"positive",16041493.6003741
"M106T125_POS",106.036873947166,125.034557342529,0.602191863281839,"positive",8256316.52669319
"M165T813_POS",165.09090188568,813.30712890625,0.601906714082441,"positive",30377313.2789089
"M174T36_POS",174.054963092531,35.579517364502,0.601452504559196,"positive",3845125.62164389
"M147T240_POS",147.050384524219,239.954940795898,0.167212826611089,"positive",59310648.670697
"M110T266_POS",110.071315526791,265.686126708984,0.167108874567928,"positive",5240940.64929909
"M139T266_POS",139.069608103726,265.675872802734,0.156659563279733,"positive",26820899.2854582
"M147T540_POS",147.050282704289,539.841247558594,0.154403852608447,"positive",267670560.15918
"M103T263_POS",103.054237931807,263.303375244141,0.151795156250525,"positive",2962257.30721938
"M146T35_1_POS",146.081141586079,34.939998626709,0.127720429341655,"positive",3278338.69035902
"M103T569_POS",103.00666884599,569.30517578125,0.115446655729196,"positive",94562990.4278024
"M100T35_POS",100.112041963701,34.9470024108887,0.1130415425683,"positive",8007969.86465133
"M147T273_POS",147.050314493097,272.57470703125,0.110132256836602,"positive",118758639.462307
"M164T569_POS",164.031038478531,569.261962890625,0.107920315446647,"positive",124827447.420697
"M155T480_POS",155.142947848489,479.837265014648,0.10669060215071,"positive",3001116.44703109
"M95T655_2_POS",95.4484238444166,655.492126464844,0.106042395021026,"positive",5407120.4177076
"M149T588_POS",149.096101104815,587.686645507812,0.10576588760022,"positive",61557659.4146418
"M165T546_POS",165.16363212456,545.675903320312,0.104538637063711,"positive",57426352.8720297
"M138T822_POS",138.287477241661,822.085632324219,0.103534996235025,"positive",793810.741028878
"M147T338_POS",147.050321711981,338.496109008789,0.101117702000551,"positive",150135753.860512
"M146T35_2_POS",146.117564200965,34.8463439941406,0.10006977574335,"positive",11078079.5623672
"M85T267_POS",84.6145752362936,267.171569824219,0.100036889794102,"positive",815510.934427363
"M89T266_POS",88.873242227886,266.291473388672,0.0988272619972123,"positive",65883636.8545637
"M161T964_POS",161.029481073938,963.527221679688,0.096259636208194,"positive",36432035.4023539
"M164T521_POS",164.135968478115,520.871520996094,0.0960485762505094,"positive",780924.214891448
"M167T856_POS",166.984834406482,856.118194580078,0.0959382387293106,"positive",129466615.240748
"M122T601_POS",121.987209140674,600.525543212891,0.0952409533758168,"positive",77621232.015849
"M153T590_POS",153.043422393054,589.781341552734,0.0951759188304431,"positive",12403727.0911155
"M122T439_POS",121.987271367845,439.378631591797,0.0946047208608372,"positive",92729330.1216603
"M122T824_POS",122.02050428078,823.573669433594,0.0939470608641279,"positive",13180609.5627667
"M133T824_POS",132.997467526504,823.567138671875,0.092473888314319,"positive",58637113.9442122
"M112T520_POS",112.120228954118,520.2294921875,0.0920204456383207,"positive",431784.473546498
"M147T381_POS",147.050312673,380.999206542969,0.0917889315050276,"positive",161893700.83721
"M140T573_POS",140.068221258581,573.313171386719,0.0899834191560027,"positive",88145899.9449591
"M104T374_POS",104.078716770104,373.570373535156,0.0890243586970827,"positive",6833480.0232855
"M163T823_4_POS",163.09531699512,823.341613769531,0.0866197174421847,"positive",19033603.2518826
"M137T894_POS",137.029345653941,893.831024169922,0.0865708161831237,"positive",11135248.8449185
"M135T589_POS",135.032838268222,589.239624023438,0.0863291118296824,"positive",44453650.9086435
"M135T823_POS",135.032761669885,822.678894042969,0.085881022337351,"positive",568231115.282293
"M137T1002_POS",137.029429737217,1001.66003417969,0.0855648453185724,"positive",15049756.1353576
"M158T45_3_POS",158.117610818545,44.9432220458984,0.0849447608369679,"positive",8095247.30623345
"M154T188_POS",154.049907296265,187.805328369141,0.0848728689075581,"positive",58785914.945585
"M156T177_POS",156.101958439694,177.32682800293,0.0848249114604934,"positive",8143629.15460918
"M169T92_POS",169.097134373287,91.5720558166504,0.0841890918632622,"positive",5354275.36988694
"M168T37_2_POS",168.063014106924,36.8650436401367,0.0839760705462726,"positive",3414283.08976989
"M168T166_POS",168.049394331964,165.645309448242,0.0838113900999713,"positive",2575306.30308574
"M175T209_POS",175.089942791843,208.929618835449,0.0820242820848752,"positive",796659.979810645
"M165T589_2_POS",165.060685981838,588.876403808594,0.0816504440519445,"positive",13763674.5171403
"M88T625_2_POS",88.4405589517337,625.182556152344,0.0813117187746905,"positive",6097327.14901553
"M150T480_POS",150.099444602211,480.186569213867,0.081009757924107,"positive",73071545.4349138
"M86T36_POS",86.0598957533986,35.5103931427002,0.0808844373874662,"positive",16206294.9170441
"M155T848_POS",155.029365858814,848.425170898438,0.078757365341871,"positive",173130492.291262
"M176T188_POS",176.032038762533,187.822761535645,0.0787461870685391,"positive",52513666.2739778
"M179T218_POS",179.076390817822,218.033714294434,0.0786808575819165,"positive",14810596.0335701
"M147T353_POS",147.050307661749,352.770233154297,0.0782920365335436,"positive",165541576.164326
"M165T589_1_POS",165.03185607611,588.930908203125,0.0773202346126728,"positive",10669626.5859832
"M111T852_POS",111.023234340715,851.683532714844,0.0772544479671145,"positive",74013672.3826544
"M163T823_3_POS",163.027586920387,822.960052490234,0.0764493615871622,"positive",22817319793.6237
"M161T457_POS",161.096179128058,456.795104980469,0.0760478580650883,"positive",1727987.90948399
"M163T823_1_POS",162.960008634215,823.351318359375,0.0759043101592678,"positive",18804254.6808993
"M89T589_POS",88.9908963962091,588.898620605469,0.0753720296874491,"positive",49301267.1740697
"M159T826_2_POS",159.007647605865,825.989501953125,0.075013027199336,"positive",23691573.3063151
"M147T500_POS",147.050302181133,499.986053466797,0.0750018194318793,"positive",185313902.022632
"M164T440_POS",164.031035567822,439.989349365234,0.0741964528577406,"positive",132021353.544119
"M115T36_2_POS",115.075397043613,36.1210556030273,0.0737802907555983,"positive",12560811.7181761
"M179T823_POS",179.076308961293,822.964752197266,0.073284273310327,"positive",389935384.584848
"M127T832_POS",127.034535756472,832.407531738281,0.072865692689944,"positive",446185532.354719
"M101T36_1_POS",101.059718069879,36.272439956665,0.0726671087470862,"positive",16623403.9419629
"M135T974_POS",134.996473157131,973.752136230469,0.0726108192097412,"positive",480801275.596219
"M171T600_POS",171.099013218167,599.94091796875,0.0724354471431687,"positive",62400270.8211027
"M108T846_POS",107.971508445177,846.329956054688,0.0722939638260902,"positive",66463961.9796627
