variable_id,mz,rt,condition,polarity,mean_intensity
M97T956_POS,97.00762503,956.022583,-0.004478137,positive,11400975.32
M97T995_POS,97.00762443,994.9519043,0.0186713,positive,10638198.27
M97T33_2_POS,97.02845042,33.4873085,0.062091297,positive,31072090.75
M97T36_POS,97.06480873,36.17607689,0.033949153,positive,9332942.421
M99T818_POS,98.984035,818.3207397,0.009063471,positive,336609204.8
M99T34_1_POS,98.98414326,34.3423214,-0.032095035,positive,50077175.36
M99T595_POS,98.98412359,594.7275391,-0.057402705,positive,51096734.09
M99T34_2_POS,99.04380459,33.52729225,-0.063382535,positive,7358982.105
M99T236_POS,99.08047401,235.6420288,-0.003238234,positive,14760404.37
M99T589_POS,99.3303495,589.2322388,0.035902726,positive,783268.7288
M100T33_POS,99.97865846,32.76758194,-0.002866637,positive,13303463.99
M100T38_POS,100.0392754,37.83930969,-0.034312167,positive,2740314.126
M100T67_POS,100.075675,67.44049072,-0.030006172,positive,67813488.84
M100T35_POS,100.112042,34.94700241,0.113041543,positive,8007969.865
M101T36_1_POS,101.0597181,36.27243996,0.072667109,positive,16623403.94
M101T68_POS,101.0790459,68.00275421,0.022946916,positive,8058975.09
M101T266_POS,101.310143,265.6807251,0.014820783,positive,55769752.03
M102T840_POS,101.9761989,840.0623169,-0.017465949,positive,70206721.49
M102T35_1_POS,102.0547696,34.88063049,0.045057806,positive,52681656.97
M102T53_POS,102.0549488,52.7492485,-0.105756125,positive,51405729.48
M103T423_POS,102.5088344,422.5995483,0.009410012,positive,532104.7429
M103T824_POS,102.9680499,823.5700073,0.028540241,positive,17098997.07
M103T823_POS,103.0065879,822.9578247,0.068758975,positive,785439749.9
M103T640_POS,103.006628,640.3735657,-0.016084651,positive,41430502.9
M103T610_POS,103.0066395,610.0076904,-0.004898871,positive,87290337.37
M103T789_POS,103.0066101,788.7545776,0.049089889,positive,53090778.64
M103T500_POS,103.0066814,500.0034637,-0.018068293,positive,81313371.41
M103T569_POS,103.0066688,569.3051758,0.115446656,positive,94562990.43
M103T475_POS,103.006678,474.5157776,0.025579532,positive,79330520.21
M103T589_POS,103.0066471,588.9110107,0.02574259,positive,57033177.41
M103T518_POS,103.0066782,518.0310059,-0.028391634,positive,73085419.6
M103T541_POS,103.0066757,541.0593872,-0.011705024,positive,90275687.96
M103T441_POS,103.0066789,440.9272461,0.035691416,positive,96148282.42
M103T756_POS,103.0066123,756.1539917,0.032469124,positive,61589532.65
M103T734_POS,103.0066209,733.5005493,-0.026600294,positive,53300153.23
M103T382_POS,103.0066853,382.2696228,0.05777144,positive,61073712.95
M103T704_POS,103.0066229,703.6199341,0.0527466,positive,72502313.62
M103T289_POS,103.006685,289.3728485,-0.011409846,positive,32037318.08
M103T673_POS,103.0066294,673.3259277,-0.091720712,positive,68029667.4
M103T360_POS,103.00668,360.2280884,0.031914781,positive,63940012.32
M103T338_POS,103.0066849,338.179657,0.060549241,positive,47259110.78
M103T248_POS,103.0066823,247.7353668,-0.032516122,positive,23155438.03
M103T322_POS,103.0066803,322.0746002,0.057239838,positive,53109499.78
M103T307_POS,103.0066889,307.1924438,0.04183749,positive,42254902.95
M103T411_POS,103.0066786,410.8079681,-0.010800055,positive,70309081.65
M103T33_2_POS,103.0542058,33.15384865,-0.118676174,positive,351042249.6
M103T263_POS,103.0542379,263.3033752,0.151795156,positive,2962257.307
M103T521_POS,103.0753902,520.8002014,0.003971841,positive,8311919.442
M103T374_POS,103.0753962,373.5646515,0.057865069,positive,153421069.8
M104T823_2_POS,104.0134,823.2325134,0.033010473,positive,15174344.34
M104T33_POS,104.0575442,33.12247086,-0.119121697,positive,33090168.19
M104T374_POS,104.0787168,373.5703735,0.089024359,positive,6833480.023
M104T595_POS,104.1069586,595.0336914,-0.180075008,positive,256504158.2
M104T581_POS,104.1069598,581.4207764,-0.315597223,positive,130094607
M104T630_POS,104.106964,630.4381714,-0.149683878,positive,65867246.99
M105T886_POS,104.9633701,886.406189,-0.018180547,positive,95540200.87
M105T914_POS,104.96338,913.9601746,-0.010673186,positive,53619214.01
M105T939_POS,104.963385,938.7299805,0.041215518,positive,45686812.55
M105T963_POS,104.9633893,963.4851685,0.034709188,positive,42948676.69
M105T1004_POS,104.9633908,1003.832886,0.049297837,positive,34791032.62
M105T981_POS,104.9633917,981.1924744,0.024846632,positive,40698219.84
M105T850_POS,104.963336,849.9598694,-0.024541737,positive,589692645.6
M105T824_POS,105.0023676,823.5722656,0.058677175,positive,31174108
M105T126_POS,105.0335486,125.6215782,0.108649897,positive,131486013.2
M105T33_POS,105.0698216,33.24643326,-0.079958042,positive,9123133.362
M105T823_POS,105.0709795,823.2591248,0.022126316,positive,10166942.43
M105T434_POS,105.0707746,433.8132324,0.034811164,positive,57874720.3
M105T595_POS,105.1103278,594.9513245,-0.196936947,positive,12283249.81
M105T581_POS,105.1103464,581.4920044,-0.311836442,positive,5519630.554
M106T853_POS,105.9711481,853.1936646,-0.047855825,positive,13722079.8
M106T886_POS,105.9711782,886.4111328,0.057349969,positive,4257084.364
M106T939_POS,105.9711961,938.7740784,0.049789858,positive,2563617.745
M106T979_POS,105.971205,979.3277283,0.06646302,positive,2242748.902
M106T125_POS,106.0368739,125.0345573,0.102191863,positive,8256316.527
M107T629_POS,106.556002,629.098877,-0.002989259,positive,2848444.92
M107T829_POS,107.0014027,828.7634888,-0.007724482,positive,97909319.01
M107T33_2_POS,107.0491331,33.16002274,-0.115467066,positive,38187463.29
M107T555_POS,107.0491605,554.9624329,-0.03085637,positive,6857176.812
